Day Index,Pageviews
10/8/17,35730.00
10/9/17,32475.00
10/10/17,27681.00
10/11/17,24930.00
10/12/17,22750.00
10/13/17,20253.00
10/14/17,27775.00
10/15/17,40191.00
10/16/17,31394.00
10/17/17,29136.00
10/18/17,23522.00
10/19/17,22896.00
10/20/17,20576.00
10/21/17,23669.00
10/22/17,36441.00
10/23/17,34741.00
10/24/17,31838.00
10/25/17,25666.00
10/26/17,23281.00
10/27/17,26566.00
10/28/17,27667.00
10/29/17,37469.00
10/30/17,29081.00
10/31/17,22059.00
11/1/17,22084.00
11/2/17,21291.00
11/3/17,23333.00
11/4/17,26180.00
11/5/17,38951.00
11/6/17,31827.00
11/7/17,25666.00
11/8/17,21980.00
11/9/17,22045.00
11/10/17,19755.00
11/11/17,24851.00
11/12/17,38573.00
11/13/17,30432.00
11/14/17,28390.00
11/15/17,26657.00
11/16/17,22855.00
11/17/17,20081.00
11/18/17,25151.00
11/19/17,31812.00
11/20/17,26444.00
11/21/17,22922.00
11/22/17,20571.00
11/23/17,15775.00
11/24/17,14136.00
11/25/17,19554.00
11/26/17,31073.00
11/27/17,23316.00
11/28/17,26748.00
11/29/17,27082.00
11/30/17,25703.00
12/1/17,22369.00
12/2/17,23775.00
12/3/17,35206.00
12/4/17,30999.00
12/5/17,26216.00
12/6/17,28583.00
12/7/17,24423.00
12/8/17,20660.00
12/9/17,22340.00
12/10/17,32523.00
12/11/17,32205.00
12/12/17,30532.00
12/13/17,21806.00
12/14/17,25812.00
12/15/17,21621.00
12/16/17,22173.00
12/17/17,29988.00
12/18/17,28091.00
12/19/17,25503.00
12/20/17,21417.00
12/21/17,22290.00
12/22/17,20559.00
12/23/17,19468.00
12/24/17,16884.00
12/25/17,15777.00
12/26/17,22873.00
12/27/17,24033.00
12/28/17,25098.00
12/29/17,24292.00
12/30/17,27970.00
12/31/17,23902.00
1/1/18,43930.00
1/2/18,46372.00
1/3/18,47994.00
1/4/18,49761.00
1/5/18,41568.00
1/6/18,47969.00
1/7/18,88382.00
1/8/18,57417.00
1/9/18,46796.00
1/10/18,46366.00
1/11/18,38533.00
1/12/18,33545.00
1/13/18,44020.00
1/14/18,65323.00
1/15/18,60794.00
1/16/18,42526.00
1/17/18,42788.00
1/18/18,36607.00
1/19/18,34650.00
1/20/18,41631.00
1/21/18,66293.00
1/22/18,53382.00
1/23/18,44254.00
1/24/18,40938.00
1/25/18,39880.00
1/26/18,33765.00
1/27/18,43109.00
1/28/18,66209.00
1/29/18,51231.00
1/30/18,47200.00
1/31/18,43540.00
2/1/18,40126.00
2/2/18,35537.00
2/3/18,45295.00
2/4/18,62686.00
2/5/18,45219.00
2/6/18,43972.00
2/7/18,38717.00
2/8/18,35531.00
2/9/18,34052.00
2/10/18,40511.00
2/11/18,61205.00
2/12/18,45057.00
2/13/18,33306.00
2/14/18,26020.00
2/15/18,27164.00
2/16/18,27318.00
2/17/18,34388.00
2/18/18,52446.00
2/19/18,51098.00
2/20/18,36724.00
2/21/18,36104.00
2/22/18,33905.00
2/23/18,31051.00
2/24/18,36747.00
2/25/18,67375.00
2/26/18,43864.00
2/27/18,38094.00
2/28/18,34149.00
3/1/18,32631.00
3/2/18,35082.00
3/3/18,36662.00
3/4/18,51623.00
3/5/18,39386.00
3/6/18,33111.00
3/7/18,31578.00
3/8/18,27845.00
3/9/18,28477.00
3/10/18,38125.00
3/11/18,54287.00
3/12/18,44415.00
3/13/18,41136.00
3/14/18,39357.00
3/15/18,40582.00
3/16/18,28898.00
3/17/18,31747.00
3/18/18,54210.00
3/19/18,66380.00
3/20/18,67758.00
3/21/18,47760.00
3/22/18,42682.00
3/23/18,32948.00
3/24/18,42090.00
3/25/18,64142.00
3/26/18,52012.00
3/27/18,46778.00
3/28/18,39236.00
3/29/18,35025.00
3/30/18,32687.00
3/31/18,37328.00
4/1/18,43549.00
4/2/18,56409.00
4/3/18,48467.00
4/4/18,40828.00
4/5/18,35232.00
4/6/18,33697.00
4/7/18,42623.00
4/8/18,64027.00
4/9/18,47371.00
4/10/18,40265.00
4/11/18,37921.00
4/12/18,31586.00
4/13/18,38817.00
4/14/18,42531.00
4/15/18,63759.00
4/16/18,51510.00
4/17/18,41720.00
4/18/18,41924.00
4/19/18,35420.00
4/20/18,41956.00
4/21/18,42580.00
4/22/18,62274.00
4/23/18,48652.00
4/24/18,48859.00
4/25/18,42934.00
4/26/18,35118.00
4/27/18,30172.00
4/28/18,36611.00
4/29/18,62280.00
4/30/18,54811.00
5/1/18,43261.00
5/2/18,36756.00
5/3/18,35498.00
5/4/18,34887.00
5/5/18,36233.00
5/6/18,66199.00
5/7/18,50860.00
